id,date,year_week,product_number,reporterhq_id,prod_category,specs,display_size,segment,sales_units,inventory_units
202119-3948,2021-05-15,202119,3948,93,Arale,7736,13.3,Premium,0.0,0.0
202120-3948,2021-05-22,202120,3948,93,Arale,7736,13.3,Premium,2.0,12.0
202121-3948,2021-05-29,202121,3948,93,Arale,7736,13.3,Premium,0.0,38.0
202122-3948,2021-06-05,202122,3948,93,Arale,7736,13.3,Premium,0.0,83.0
202123-3948,2021-06-12,202123,3948,93,Arale,7736,13.3,Premium,7.0,176.0
202124-3948,2021-06-19,202124,3948,93,Arale,7736,13.3,Premium,21.0,208.0
202125-3948,2021-06-26,202125,3948,93,Arale,7736,13.3,Premium,45.0,208.0
202126-3948,2021-07-03,202126,3948,93,Arale,7736,13.3,Premium,4.0,206.0
202127-3948,2021-07-10,202127,3948,93,Arale,7736,13.3,Premium,21.0,199.0
202128-3948,2021-07-17,202128,3948,93,Arale,7736,13.3,Premium,,191.0
202129-3948,2021-07-24,202129,3948,93,Arale,7736,13.3,Premium,70.0,179.0
202130-3948,2021-07-31,202130,3948,93,Arale,7736,13.3,Premium,1.0,185.0
202131-3948,2021-08-07,202131,3948,93,Arale,7736,13.3,Premium,32.0,222.0
202132-3948,2021-08-14,202132,3948,93,Arale,7736,13.3,Premium,2.0,317.0
202133-3948,2021-08-21,202133,3948,93,Arale,7736,13.3,Premium,0.0,360.0
202134-3948,2021-08-28,202134,3948,93,Arale,7736,13.3,Premium,29.0,376.0
202135-3948,2021-09-04,202135,3948,93,Arale,7736,13.3,Premium,2.0,381.0
202136-3948,2021-09-11,202136,3948,93,Arale,7736,13.3,Premium,21.0,381.0
202137-3948,2021-09-18,202137,3948,93,Arale,7736,13.3,Premium,1.0,381.0
202138-3948,2021-09-25,202138,3948,93,Arale,7736,13.3,Premium,15.0,377.0
202139-3948,2021-10-02,202139,3948,93,Arale,7736,13.3,Premium,32.0,366.0
202140-3948,2021-10-09,202140,3948,93,Arale,7736,13.3,Premium,17.0,354.0
202141-3948,2021-10-16,202141,3948,93,Arale,7736,13.3,Premium,7.0,343.0
202142-3948,2021-10-23,202142,3948,93,Arale,7736,13.3,Premium,14.0,329.0
202143-3948,2021-10-30,202143,3948,93,Arale,7736,13.3,Premium,37.0,303.0
202144-3948,2021-11-06,202144,3948,93,Arale,7736,13.3,Premium,55.0,264.0
202146-3948,2021-11-20,202146,3948,93,Arale,7736,13.3,Premium,134.0,196.0
202147-3948,2021-11-27,202147,3948,93,Arale,7736,13.3,Premium,165.0,130.0
202148-3948,2021-12-04,202148,3948,93,Arale,7736,13.3,Premium,104.0,81.0
202149-3948,2021-12-11,202149,3948,93,Arale,7736,13.3,Premium,36.0,54.0
202150-3948,2021-12-18,202150,3948,93,Arale,7736,13.3,Premium,22.0,37.0
202151-3948,2021-12-25,202151,3948,93,Arale,7736,13.3,Premium,4.0,32.0
202152-3948,2022-01-01,202152,3948,93,Arale,7736,13.3,Premium,1.0,30.0
202201-3948,2022-01-08,202201,3948,93,Arale,7736,13.3,Premium,5.0,27.0
202202-3948,2022-01-15,202202,3948,93,Arale,7736,13.3,Premium,0.0,33.0
202203-3948,2022-01-22,202203,3948,93,Arale,7736,13.3,Premium,2.0,39.0
202204-3948,2022-01-29,202204,3948,93,Arale,7736,13.3,Premium,6.0,40.0
202205-3948,2022-02-05,202205,3948,93,Arale,7736,13.3,Premium,13.0,38.0
202206-3948,2022-02-12,202206,3948,93,Arale,7736,13.3,Premium,0.0,41.0
202207-3948,2022-02-19,202207,3948,93,Arale,7736,13.3,Premium,4.0,
202208-3948,2022-02-26,202208,3948,93,Arale,7736,13.3,Premium,7.0,46.0
202209-3948,2022-03-05,202209,3948,93,Arale,7736,13.3,Premium,4.0,46.0
202210-3948,2022-03-12,202210,3948,93,Arale,7736,13.3,Premium,2.0,43.0
202211-3948,2022-03-19,202211,3948,93,Arale,7736,13.3,Premium,7.0,36.0
202212-3948,2022-03-26,202212,3948,93,Arale,7736,13.3,Premium,,25.0
202213-3948,2022-04-02,202213,3948,93,Arale,7736,13.3,Premium,34.0,11.0
202214-3948,2022-04-09,202214,3948,93,Arale,7736,13.3,Premium,4.0,5.0
202215-3948,2022-04-16,202215,3948,93,Arale,7736,13.3,Premium,10.0,2.0
202216-3948,2022-04-23,202216,3948,93,Arale,7736,13.3,Premium,3.0,1.0
202217-3948,2022-04-30,202217,3948,93,Arale,7736,13.3,Premium,3.0,2.0
202219-3948,2022-05-14,202219,3948,93,Arale,7736,13.3,Premium,2.0,4.0
202220-3948,2022-05-21,202220,3948,93,Arale,7736,13.3,Premium,4.0,2.0
202221-3948,2022-05-28,202221,3948,93,Arale,7736,13.3,Premium,0.0,1.0
202223-3948,2022-06-11,202223,3948,93,Arale,7736,13.3,Premium,0.0,1.0
202224-3948,2022-06-18,202224,3948,93,Arale,7736,13.3,Premium,0.0,2.0
202225-3948,2022-06-25,202225,3948,93,Arale,7736,13.3,Premium,0.0,3.0
202226-3948,2022-07-02,202226,3948,93,Arale,7736,13.3,Premium,1.0,5.0
202231-3948,2022-08-06,202231,3948,93,Arale,7736,13.3,Premium,0.0,11.0
202232-3948,2022-08-13,202232,3948,93,Arale,7736,13.3,Premium,1.0,9.0
202233-3948,2022-08-20,202233,3948,93,Arale,7736,13.3,Premium,8.0,5.0
202234-3948,2022-08-27,202234,3948,93,Arale,7736,13.3,Premium,7.0,5.0
202235-3948,2022-09-03,202235,3948,93,Arale,7736,13.3,Premium,1.0,6.0
202236-3948,2022-09-10,202236,3948,93,Arale,7736,13.3,Premium,0.0,9.0
202237-3948,2022-09-17,202237,3948,93,Arale,7736,13.3,Premium,0.0,9.0
202238-3948,2022-09-24,202238,3948,93,Arale,7736,13.3,Premium,2.0,6.0
202239-3948,2022-10-01,202239,3948,93,Arale,7736,13.3,Premium,1.0,4.0
202240-3948,2022-10-08,202240,3948,93,Arale,7736,13.3,Premium,2.0,
202242-3948,2022-10-22,202242,3948,93,Arale,7736,13.3,Premium,5.0,5.0
202243-3948,2022-10-29,202243,3948,93,Arale,7736,13.3,Premium,5.0,10.0
202244-3948,2022-11-05,202244,3948,93,Arale,7736,13.3,Premium,0.0,18.0
202245-3948,2022-11-12,202245,3948,93,Arale,7736,13.3,Premium,0.0,17.0
202248-3948,2022-12-03,202248,3948,93,Arale,7736,13.3,Premium,0.0,27.0
202249-3948,2022-12-10,202249,3948,93,Arale,7736,13.3,Premium,0.0,33.0
202250-3948,2022-12-17,202250,3948,93,Arale,7736,13.3,Premium,0.0,40.0
202252-3948,2022-12-31,202252,3948,93,Arale,7736,13.3,Premium,10.0,49.0
202302-3948,2023-01-14,202302,3948,93,Arale,7736,13.3,Premium,14.0,52.0
202304-3948,2023-01-28,202304,3948,93,Arale,7736,13.3,Premium,0.0,54.0
202306-3948,2023-02-11,202306,3948,93,Arale,7736,13.3,Premium,0.0,53.0
202307-3948,2023-02-18,202307,3948,93,Arale,7736,13.3,Premium,2.0,49.0
202308-3948,2023-02-25,202308,3948,93,Arale,7736,13.3,Premium,3.0,44.0
202309-3948,2023-03-04,202309,3948,93,Arale,7736,13.3,Premium,36.0,34.0
202310-3948,2023-03-11,202310,3948,93,Arale,7736,13.3,Premium,29.0,22.0
202311-3948,2023-03-18,202311,3948,93,Arale,7736,13.3,Premium,4.0,
202312-3948,2023-03-25,202312,3948,93,Arale,7736,13.3,Premium,27.0,8.0
202313-3948,2023-04-01,202313,3948,93,Arale,7736,13.3,Premium,7.0,4.0
202314-3948,2023-04-08,202314,3948,93,Arale,7736,13.3,Premium,0.0,4.0
202315-3948,2023-04-15,202315,3948,93,Arale,7736,13.3,Premium,,5.0
202316-3948,2023-04-22,202316,3948,93,Arale,7736,13.3,Premium,0.0,8.0
202317-3948,2023-04-29,202317,3948,93,Arale,7736,13.3,Premium,27.0,6.0
202318-3948,2023-05-06,202318,3948,93,Arale,7736,13.3,Premium,3.0,5.0
202142-4935,2021-10-23,202142,4935,93,Arale,8703,13.3,Premium,,31.0
202143-4935,2021-10-30,202143,4935,93,Arale,8703,13.3,Premium,31.0,25.0
202144-4935,2021-11-06,202144,4935,93,Arale,8703,13.3,Premium,121.0,34.0
202146-4935,2021-11-20,202146,4935,93,Arale,8703,13.3,Premium,124.0,30.0
202147-4935,2021-11-27,202147,4935,93,Arale,8703,13.3,Premium,0.0,45.0
202148-4935,2021-12-04,202148,4935,93,Arale,8703,13.3,Premium,1.0,88.0
202149-4935,2021-12-11,202149,4935,93,Arale,8703,13.3,Premium,11.0,71.0
202150-4935,2021-12-18,202150,4935,93,Arale,8703,13.3,Premium,,95.0
202151-4935,2021-12-25,202151,4935,93,Arale,8703,13.3,Premium,38.0,166.0
202152-4935,2022-01-01,202152,4935,93,Arale,8703,13.3,Premium,48.0,94.0
202201-4935,2022-01-08,202201,4935,93,Arale,8703,13.3,Premium,24.0,57.0
202202-4935,2022-01-15,202202,4935,93,Arale,8703,13.3,Premium,24.0,55.0
202203-4935,2022-01-22,202203,4935,93,Arale,8703,13.3,Premium,0.0,86.0
202204-4935,2022-01-29,202204,4935,93,Arale,8703,13.3,Premium,0.0,115.0
202205-4935,2022-02-05,202205,4935,93,Arale,8703,13.3,Premium,0.0,140.0
202206-4935,2022-02-12,202206,4935,93,Arale,8703,13.3,Premium,37.0,84.0
202207-4935,2022-02-19,202207,4935,93,Arale,8703,13.3,Premium,4.0,78.0
202208-4935,2022-02-26,202208,4935,93,Arale,8703,13.3,Premium,0.0,120.0
202209-4935,2022-03-05,202209,4935,93,Arale,8703,13.3,Premium,29.0,76.0
202210-4935,2022-03-12,202210,4935,93,Arale,8703,13.3,Premium,13.0,61.0
202211-4935,2022-03-19,202211,4935,93,Arale,8703,13.3,Premium,0.0,84.0
202212-4935,2022-03-26,202212,4935,93,Arale,8703,13.3,Premium,6.0,74.0
202213-4935,2022-04-02,202213,4935,93,Arale,8703,13.3,Premium,8.0,62.0
202214-4935,2022-04-09,202214,4935,93,Arale,8703,13.3,Premium,6.0,89.0
202215-4935,2022-04-16,202215,4935,93,Arale,8703,13.3,Premium,6.0,168.0
202216-4935,2022-04-23,202216,4935,93,Arale,8703,13.3,Premium,12.0,149.0
202217-4935,2022-04-30,202217,4935,93,Arale,8703,13.3,Premium,40.0,88.0
202219-4935,2022-05-14,202219,4935,93,Arale,8703,13.3,Premium,10.0,79.0
202220-4935,2022-05-21,202220,4935,93,Arale,8703,13.3,Premium,15.0,64.0
202221-4935,2022-05-28,202221,4935,93,Arale,8703,13.3,Premium,12.0,46.0
202223-4935,2022-06-11,202223,4935,93,Arale,8703,13.3,Premium,0.0,56.0
202224-4935,2022-06-18,202224,4935,15,Arale,8703,13.3,Premium,0.0,51.0
202224-4935,2022-06-18,202224,4935,93,Arale,8703,13.3,Premium,14.0,
202225-4935,2022-06-25,202225,4935,15,Arale,8703,13.3,Premium,0.0,87.0
202225-4935,2022-06-25,202225,4935,93,Arale,8703,13.3,Premium,0.0,33.0
202226-4935,2022-07-02,202226,4935,15,Arale,8703,13.3,Premium,62.0,161.0
202226-4935,2022-07-02,202226,4935,93,Arale,8703,13.3,Premium,0.0,44.0
202227-4935,2022-07-09,202227,4935,15,Arale,8703,13.3,Premium,0.0,191.0
202228-4935,2022-07-16,202228,4935,15,Arale,8703,13.3,Premium,0.0,192.0
202229-4935,2022-07-23,202229,4935,15,Arale,8703,13.3,Premium,125.0,94.0
202230-4935,2022-07-30,202230,4935,15,Arale,8703,13.3,Premium,69.0,50.0
202231-4935,2022-08-06,202231,4935,15,Arale,8703,13.3,Premium,64.0,37.0
202231-4935,2022-08-06,202231,4935,93,Arale,8703,13.3,Premium,0.0,60.0
202232-4935,2022-08-13,202232,4935,15,Arale,8703,13.3,Premium,69.0,46.0
202232-4935,2022-08-13,202232,4935,93,Arale,8703,13.3,Premium,0.0,112.0
202233-4935,2022-08-20,202233,4935,15,Arale,8703,13.3,Premium,29.0,23.0
202233-4935,2022-08-20,202233,4935,93,Arale,8703,13.3,Premium,16.0,106.0
202234-4935,2022-08-27,202234,4935,15,Arale,8703,13.3,Premium,5.0,15.0
202234-4935,2022-08-27,202234,4935,93,Arale,8703,13.3,Premium,31.0,68.0
202235-4935,2022-09-03,202235,4935,15,Arale,8703,13.3,Premium,38.0,18.0
202235-4935,2022-09-03,202235,4935,93,Arale,8703,13.3,Premium,5.0,70.0
202236-4935,2022-09-10,202236,4935,15,Arale,8703,13.3,Premium,0.0,31.0
202236-4935,2022-09-10,202236,4935,93,Arale,8703,13.3,Premium,13.0,50.0
202237-4935,2022-09-17,202237,4935,15,Arale,8703,13.3,Premium,24.0,14.0
202237-4935,2022-09-17,202237,4935,93,Arale,8703,13.3,Premium,0.0,60.0
202238-4935,2022-09-24,202238,4935,15,Arale,8703,13.3,Premium,5.0,6.0
202238-4935,2022-09-24,202238,4935,93,Arale,8703,13.3,Premium,10.0,45.0
202239-4935,2022-10-01,202239,4935,15,Arale,8703,13.3,Premium,2.0,3.0
202239-4935,2022-10-01,202239,4935,93,Arale,8703,13.3,Premium,0.0,58.0
202240-4935,2022-10-08,202240,4935,15,Arale,8703,13.3,Premium,0.0,3.0
202240-4935,2022-10-08,202240,4935,93,Arale,8703,13.3,Premium,20.0,106.0
202241-4935,2022-10-15,202241,4935,15,Arale,8703,13.3,Premium,0.0,5.0
202242-4935,2022-10-22,202242,4935,15,Arale,8703,13.3,Premium,0.0,10.0
202242-4935,2022-10-22,202242,4935,93,Arale,8703,13.3,Premium,,52.0
202243-4935,2022-10-29,202243,4935,15,Arale,8703,13.3,Premium,69.0,21.0
202243-4935,2022-10-29,202243,4935,93,Arale,8703,13.3,Premium,16.0,29.0
202244-4935,2022-11-05,202244,4935,15,Arale,8703,13.3,Premium,0.0,45.0
202244-4935,2022-11-05,202244,4935,93,Arale,8703,13.3,Premium,3.0,24.0
202245-4935,2022-11-12,202245,4935,15,Arale,8703,13.3,Premium,48.0,64.0
202245-4935,2022-11-12,202245,4935,93,Arale,8703,13.3,Premium,0.0,36.0
202246-4935,2022-11-19,202246,4935,15,Arale,8703,13.3,Premium,9.0,70.0
202247-4935,2022-11-26,202247,4935,15,Arale,8703,13.3,Premium,16.0,46.0
202247-4935,2022-11-26,202247,4935,93,Arale,8703,13.3,Premium,0.0,70.0
202248-4935,2022-12-03,202248,4935,15,Arale,8703,13.3,Premium,0.0,45.0
202248-4935,2022-12-03,202248,4935,93,Arale,8703,13.3,Premium,5.0,129.0
202249-4935,2022-12-10,202249,4935,15,Arale,8703,13.3,Premium,127.0,37.0
202249-4935,2022-12-10,202249,4935,93,Arale,8703,13.3,Premium,25.0,91.0
202250-4935,2022-12-17,202250,4935,15,Arale,8703,13.3,Premium,0.0,
202250-4935,2022-12-17,202250,4935,93,Arale,8703,13.3,Premium,26.0,52.0
202251-4935,2022-12-24,202251,4935,15,Arale,8703,13.3,Premium,0.0,63.0
202252-4935,2022-12-31,202252,4935,15,Arale,8703,13.3,Premium,48.0,63.0
202252-4935,2022-12-31,202252,4935,93,Arale,8703,13.3,Premium,7.0,44.0
202301-4935,2023-01-07,202301,4935,15,Arale,8703,13.3,Premium,0.0,100.0
202302-4935,2023-01-14,202302,4935,15,Arale,8703,13.3,Premium,97.0,50.0
202302-4935,2023-01-14,202302,4935,93,Arale,8703,13.3,Premium,1.0,64.0
202303-4935,2023-01-21,202303,4935,15,Arale,8703,13.3,Premium,24.0,30.0
202304-4935,2023-01-28,202304,4935,15,Arale,8703,13.3,Premium,1.0,28.0
202304-4935,2023-01-28,202304,4935,93,Arale,8703,13.3,Premium,0.0,121.0
202305-4935,2023-02-04,202305,4935,15,Arale,8703,13.3,Premium,0.0,45.0
202306-4935,2023-02-11,202306,4935,15,Arale,8703,13.3,Premium,4.0,38.0
202306-4935,2023-02-11,202306,4935,93,Arale,8703,13.3,Premium,30.0,103.0
202307-4935,2023-02-18,202307,4935,15,Arale,8703,13.3,Premium,14.0,55.0
202307-4935,2023-02-18,202307,4935,93,Arale,8703,13.3,Premium,4.0,97.0
202308-4935,2023-02-25,202308,4935,15,Arale,8703,13.3,Premium,18.0,28.0
202308-4935,2023-02-25,202308,4935,93,Arale,8703,13.3,Premium,0.0,135.0
202309-4935,2023-03-04,202309,4935,15,Arale,8703,13.3,Premium,6.0,18.0
202309-4935,2023-03-04,202309,4935,93,Arale,8703,13.3,Premium,44.0,69.0
202310-4935,2023-03-11,202310,4935,15,Arale,8703,13.3,Premium,0.0,21.0
202310-4935,2023-03-11,202310,4935,93,Arale,8703,13.3,Premium,,45.0
202311-4935,2023-03-18,202311,4935,15,Arale,8703,13.3,Premium,55.0,37.0
202311-4935,2023-03-18,202311,4935,93,Arale,8703,13.3,Premium,5.0,49.0
202312-4935,2023-03-25,202312,4935,15,Arale,8703,13.3,Premium,0.0,47.0
202312-4935,2023-03-25,202312,4935,93,Arale,8703,13.3,Premium,0.0,82.0
202313-4935,2023-04-01,202313,4935,15,Arale,8703,13.3,Premium,9.0,33.0
202313-4935,2023-04-01,202313,4935,93,Arale,8703,13.3,Premium,28.0,40.0
202314-4935,2023-04-08,202314,4935,15,Arale,8703,13.3,Premium,0.0,40.0
202314-4935,2023-04-08,202314,4935,93,Arale,8703,13.3,Premium,32.0,
202315-4935,2023-04-15,202315,4935,15,Arale,8703,13.3,Premium,53.0,72.0
202315-4935,2023-04-15,202315,4935,93,Arale,8703,13.3,Premium,2.0,19.0
202316-4935,2023-04-22,202316,4935,15,Arale,8703,13.3,Premium,0.0,91.0
202316-4935,2023-04-22,202316,4935,93,Arale,8703,13.3,Premium,2.0,29.0
202317-4935,2023-04-29,202317,4935,15,Arale,8703,13.3,Premium,18.0,64.0
202317-4935,2023-04-29,202317,4935,93,Arale,8703,13.3,Premium,32.0,57.0
202318-4935,2023-05-06,202318,4935,15,Arale,8703,13.3,Premium,10.0,49.0
202318-4935,2023-05-06,202318,4935,93,Arale,8703,13.3,Premium,12.0,39.0
202224-5922,2022-06-18,202224,5922,15,Arale,9670,13.3,Premium,1.0,7.0
202225-5922,2022-06-25,202225,5922,15,Arale,9670,13.3,Premium,0.0,13.0
202226-5922,2022-07-02,202226,5922,15,Arale,9670,13.3,Premium,126.0,6.0
202227-5922,2022-07-09,202227,5922,15,Arale,9670,13.3,Premium,7.0,3.0
202228-5922,2022-07-16,202228,5922,15,Arale,9670,13.3,Premium,34.0,3.0
202229-5922,2022-07-23,202229,5922,15,Arale,9670,13.3,Premium,0.0,6.0
202230-5922,2022-07-30,202230,5922,15,Arale,9670,13.3,Premium,9.0,15.0
202231-5922,2022-08-06,202231,5922,15,Arale,9670,13.3,Premium,54.0,9.0
202232-5922,2022-08-13,202232,5922,15,Arale,9670,13.3,Premium,34.0,11.0
202233-5922,2022-08-20,202233,5922,15,Arale,9670,13.3,Premium,14.0,21.0
202234-5922,2022-08-27,202234,5922,15,Arale,9670,13.3,Premium,0.0,44.0
202235-5922,2022-09-03,202235,5922,15,Arale,9670,13.3,Premium,0.0,94.0
202236-5922,2022-09-10,202236,5922,15,Arale,9670,13.3,Premium,12.0,201.0
202237-5922,2022-09-17,202237,5922,15,Arale,9670,13.3,Premium,3.0,244.0
202238-5922,2022-09-24,202238,5922,15,Arale,9670,13.3,Premium,30.0,198.0
202239-5922,2022-10-01,202239,5922,15,Arale,9670,13.3,Premium,66.0,108.0
202240-5922,2022-10-08,202240,5922,15,Arale,9670,13.3,Premium,70.0,81.0
202241-5922,2022-10-15,202241,5922,15,Arale,9670,13.3,Premium,,58.0
202242-5922,2022-10-22,202242,5922,15,Arale,9670,13.3,Premium,12.0,72.0
202243-5922,2022-10-29,202243,5922,15,Arale,9670,13.3,Premium,12.0,54.0
202244-5922,2022-11-05,202244,5922,15,Arale,9670,13.3,Premium,6.0,70.0
202245-5922,2022-11-12,202245,5922,15,Arale,9670,13.3,Premium,31.0,60.0
202246-5922,2022-11-19,202246,5922,15,Arale,9670,13.3,Premium,0.0,86.0
202247-5922,2022-11-26,202247,5922,15,Arale,9670,13.3,Premium,0.0,111.0
202248-5922,2022-12-03,202248,5922,15,Arale,9670,13.3,Premium,44.0,
202249-5922,2022-12-10,202249,5922,15,Arale,9670,13.3,Premium,18.0,62.0
202250-5922,2022-12-17,202250,5922,15,Arale,9670,13.3,Premium,0.0,96.0
202251-5922,2022-12-24,202251,5922,15,Arale,9670,13.3,Premium,16.0,178.0
202252-5922,2022-12-31,202252,5922,15,Arale,9670,13.3,Premium,34.0,126.0
202301-5922,2023-01-07,202301,5922,15,Arale,9670,13.3,Premium,0.0,147.0
202302-5922,2023-01-14,202302,5922,15,Arale,9670,13.3,Premium,27.0,106.0
202303-5922,2023-01-21,202303,5922,15,Arale,9670,13.3,Premium,19.0,77.0
202304-5922,2023-01-28,202304,5922,15,Arale,9670,13.3,Premium,19.0,48.0
202305-5922,2023-02-04,202305,5922,15,Arale,9670,13.3,Premium,,48.0
202306-5922,2023-02-11,202306,5922,15,Arale,9670,13.3,Premium,9.0,46.0
202307-5922,2023-02-18,202307,5922,15,Arale,9670,13.3,Premium,8.0,43.0
202308-5922,2023-02-25,202308,5922,15,Arale,9670,13.3,Premium,0.0,47.0
202309-5922,2023-03-04,202309,5922,15,Arale,9670,13.3,Premium,0.0,80.0
202310-5922,2023-03-11,202310,5922,15,Arale,9670,13.3,Premium,6.0,107.0
202311-5922,2023-03-18,202311,5922,15,Arale,9670,13.3,Premium,5.0,99.0
202312-5922,2023-03-25,202312,5922,15,Arale,9670,13.3,Premium,5.0,91.0
202313-5922,2023-04-01,202313,5922,15,Arale,9670,13.3,Premium,32.0,42.0
202314-5922,2023-04-08,202314,5922,15,Arale,9670,13.3,Premium,,19.0
202315-5922,2023-04-15,202315,5922,15,Arale,9670,13.3,Premium,7.0,8.0
202316-5922,2023-04-22,202316,5922,15,Arale,9670,13.3,Premium,15.0,3.0
202317-5922,2023-04-29,202317,5922,15,Arale,9670,13.3,Premium,18.0,1.0
202318-5922,2023-05-06,202318,5922,15,Arale,9670,13.3,Premium,0.0,2.0
202119-6909,2021-05-15,202119,6909,93,Arale,21274,13.3,Premium,0.0,31.0
202120-6909,2021-05-22,202120,6909,93,Arale,21274,13.3,Premium,0.0,68.0
202121-6909,2021-05-29,202121,6909,93,Arale,21274,13.3,Premium,0.0,135.0
202122-6909,2021-06-05,202122,6909,93,Arale,21274,13.3,Premium,2.0,
202123-6909,2021-06-12,202123,6909,93,Arale,21274,13.3,Premium,0.0,331.0
202124-6909,2021-06-19,202124,6909,93,Arale,21274,13.3,Premium,0.0,347.0
202125-6909,2021-06-26,202125,6909,93,Arale,21274,13.3,Premium,15.0,328.0
202126-6909,2021-07-03,202126,6909,93,Arale,21274,13.3,Premium,51.0,288.0
202127-6909,2021-07-10,202127,6909,93,Arale,21274,13.3,Premium,48.0,235.0
202128-6909,2021-07-17,202128,6909,93,Arale,21274,13.3,Premium,189.0,133.0
202129-6909,2021-07-24,202129,6909,93,Arale,21274,13.3,Premium,87.0,63.0
202130-6909,2021-07-31,202130,6909,93,Arale,21274,13.3,Premium,22.0,32.0
202131-6909,2021-08-07,202131,6909,93,Arale,21274,13.3,Premium,7.0,22.0
202132-6909,2021-08-14,202132,6909,93,Arale,21274,13.3,Premium,0.0,29.0
202133-6909,2021-08-21,202133,6909,93,Arale,21274,13.3,Premium,0.0,56.0
